10.1103/PhysRevC.25.1114 n4c2
10.1103/PhysRevLett.93.126401 w2z1
10.1103/PhysRevLett.86.1955 s2s2
10.1103/PhysRevLett.86.1955 y1s3
10.1103/PhysRevLett.86.1955 t2w1
10.1103/PhysRevLett.86.1955 c2a2
10.1103/PhysRevLett.86.1955 q2d1
10.1103/PhysRevLett.86.1955 r2x1
10.1103/PhysRevLett.86.1955 g5u1
10.1103/PhysRevLett.86.1955 n3o2
10.1103/PhysRevLett.86.1955 b4h2
10.1103/PhysRevLett.86.1955 p4e1
10.1103/PhysRevLett.86.1955 x2y1
10.1103/PhysRevLett.86.1955 p2j1
10.1103/PhysRevLett.86.1955 p2q3
10.1103/PhysRevLett.86.1955 j1m3
10.1103/PhysRevLett.86.1955 j2x1
10.1103/PhysRevLett.86.1955 y2s1
10.1103/PhysRevLett.86.1955 k1h2
10.1103/PhysRevD.67.023515 o1v2
10.1103/PhysRevD.67.023515 d2k3
10.1103/PhysRevD.16.2226 p1j1
10.1103/PhysRevD.16.2226 k3p1
10.1103/PhysRevA.44.4395 e6a3
10.1103/PhysRevA.44.4395 p6z3
10.1103/PhysRevB.44.13768 k6p2
10.1103/PhysRevB.44.13768 d6e3
10.1103/PhysRevA.53.1786 z4k1
10.1103/PhysRevA.53.1786 v3z2
10.1103/PhysRevB.65.155110 c6r2
10.1103/PhysRevD.4.267 y3l2
10.1103/PhysRevC.6.1789 n5t1
10.1103/PhysRevC.6.1789 p3q2
10.1103/PhysRevD.30.218 l3u2
10.1103/PhysRevD.30.218 p6h1
10.1103/PhysRevD.30.218 q2z2
10.1103/PhysRevD.30.218 d1o2
10.1103/PhysRevD.30.218 m5g1
10.1103/PhysRevD.13.1851 u4n1
10.1103/PhysRevA.32.3098 d5c1
10.1103/PhysRevA.32.3098 a6v1
10.1103/PhysRevD.63.084027 d4h2
10.1103/PhysRevD.63.084027 b2t3
10.1103/PhysRevE.67.063501 u4l1
10.1103/PhysRevE.57.1197 l1e2
10.1103/PhysRevE.57.1197 j2w3
10.1103/PhysRevB.29.7007 d5r2
10.1103/PhysRevB.44.929 g4d3
10.1103/PhysRevB.44.929 w2e3
10.1103/PhysRevD.55.3824 r5d3
10.1103/PhysRevD.55.3824 v1c3
10.1103/PhysRevD.55.3824 q5w2
10.1103/PhysRevC.38.1926 z6o3
10.1103/PhysRevC.38.1926 x6y2
10.1103/PhysRevC.38.1926 l5z1
10.1103/PhysRevC.38.1926 l3n2
10.1103/PhysRevC.64.057901 r3s3
10.1103/PhysRevB.20.2362 u2b3
10.1103/PhysRevB.20.2362 e6s3
10.1103/PhysRevB.20.2362 x2x1
10.1103/PhysRevD.46.3123 h2a2
10.1103/PhysRevB.70.104417 z6p3
10.1103/PhysRevD.70.057501 v5g1
10.1103/PhysRevD.70.057501 e4x3
10.1103/PhysRevE.58.4147 n3d2
10.1103/PhysRevE.58.4141 b2d1
10.1103/PhysRevE.58.4141 r6a2
10.1103/PhysRevD.60.097701 n4x2
10.1103/PhysRevD.60.097701 w2s2
10.1103/PhysRevC.45.2217 z5u3
10.1103/PhysRevC.45.2217 w1k2
10.1103/PhysRevLett.80.214 u3y3
10.1103/PhysRevLett.80.214 m6g1
10.1103/PhysRevD.61.024028 j4r3
10.1103/PhysRevD.12.1196 e6o3
10.1103/PhysRevA.43.1633 h2t2
10.1103/PhysRevA.43.1633 a4r3
10.1103/PhysRevA.43.1633 v2n1
10.1103/PhysRevA.43.1633 j2x2
10.1103/PhysRevA.43.1633 o6o3
10.1103/PhysRevE.60.5943 x3o1
10.1103/PhysRevE.60.5943 d5h3
10.1103/PhysRevE.60.5943 y1e2
10.1103/PhysRevB.8.1499 e1e1
10.1103/PhysRevB.8.1499 n1s3
10.1103/PhysRevB.8.1499 h1u3
10.1103/PhysRevA.43.1183 v6v2
10.1103/PhysRevA.43.1183 v4f1
10.1103/PhysRevA.43.1183 a1w3
10.1103/PhysRevA.65.052718 j5c3
10.1103/PhysRevA.65.052718 h2v1
10.1103/PhysRevA.65.052718 j1t1
10.1103/PhysRevLett.46.774 o3p1
10.1103/PhysRevA.28.1047 e2j1
10.1103/PhysRevA.28.1047 m3z2
10.1103/PhysRevA.28.1047 b3f1
10.1103/PhysRevB.10.1564 h6f3
10.1103/PhysRevB.10.1564 w5k3
10.1103/PhysRevA.30.374 o1t1
10.1103/PhysRevB.43.14638 k5s3
10.1103/PhysRevB.43.14638 t5z3
10.1103/PhysRevLett.87.097204 c2j2
10.1103/PhysRevLett.87.097204 c2o2
10.1103/PhysRevLett.87.097204 l1w3
10.1103/PhysRevA.32.959 z2a3
10.1103/PhysRevA.32.959 z4t3
10.1103/PhysRevA.32.959 m5w3
10.1103/PhysRevB.64.125409 t3e3
10.1103/PhysRevB.42.1802 e3y3
10.1103/PhysRevB.42.1802 s4w1
10.1103/PhysRevB.42.1802 v2k3
10.1103/PhysRevB.44.6950 j2j2
10.1103/PhysRevB.44.6950 m3b1
10.1103/PhysRevA.35.3119 m5d3
10.1103/PhysRevA.35.3119 v2p3
10.1103/PhysRevB.70.241103 x1d2
10.1103/PhysRevB.70.241103 a2k2
10.1103/PhysRevE.66.011406 u5z2
10.1103/PhysRevE.66.011406 s2v2
10.1103/PhysRevE.66.011406 t6g2
10.1103/PhysRevE.66.011406 x2h1
10.1103/PhysRevLett.80.2047 g2a2
10.1103/PhysRevLett.80.2047 p2t1
10.1103/PhysRevB.55.2678 b4s2
10.1103/PhysRevB.44.8880 b3v1
10.1103/PhysRevB.17.4969 v5v1
10.1103/PhysRevB.17.4969 z4e3
10.1103/PhysRevB.22.6340 l1z3
10.1103/PhysRevB.22.6340 l2u1
10.1103/PhysRevB.22.6340 x6y1
10.1103/PhysRevB.22.6347 u3q3
10.1103/PhysRevB.22.6347 a5s3
10.1103/PhysRevC.28.852 r2y2
10.1103/PhysRevC.28.852 l1c3
10.1103/PhysRevC.28.852 q5b1
10.1103/PhysRevC.28.852 t4a2
10.1103/PhysRevLett.93.162301 m2n3
10.1103/PhysRevB.39.13493 e1v1
10.1103/PhysRevB.39.13493 y5u3
10.1103/PhysRevB.39.13493 j2x3
10.1103/PhysRevB.7.1650 u3q3
10.1103/PhysRevB.7.1650 a1p1
10.1103/PhysRevB.30.6943 t1z2
10.1103/PhysRevB.30.6943 z2b3
10.1103/PhysRevA.42.2292 g3v1
10.1103/PhysRevA.42.2292 n5u2
10.1103/PhysRevA.42.2292 n1u1
10.1103/PhysRevLett.74.4181 v5n1
10.1103/PhysRevLett.74.4181 o3r1
10.1103/PhysRevLett.74.4181 u6b2
10.1103/PhysRevB.11.3031 u4q1
10.1103/PhysRevC.14.1630 n6p2
10.1103/PhysRevC.14.1630 e1q3
10.1103/PhysRevD.70.063525 l4x3
10.1103/PhysRevD.15.1991 d5f3
10.1103/PhysRevD.15.1991 h2e2
10.1103/PhysRevE.63.061710 c6h2
10.1103/PhysRevD.30.844 x5r3
10.1103/PhysRevD.30.844 b6z2
10.1103/PhysRevD.8.1940 c2b3
10.1103/PhysRevB.28.3362 s4z3
10.1103/PhysRevB.28.3362 g6m3
10.1103/PhysRevB.28.3362 x4r3
10.1103/PhysRevB.70.155319 w2p3
10.1103/PhysRevA.6.1340 f1k2
10.1103/PhysRevA.6.1340 t1c1
10.1103/PhysRevA.21.1297 x3s2
10.1103/PhysRevA.21.1297 p6s3
10.1103/PhysRevA.23.1801 o4k3
10.1103/PhysRevA.23.1807 v2t3
10.1103/PhysRevA.23.1807 a5c1
10.1103/PhysRevB.53.2126 k4s2
10.1103/PhysRevB.53.2126 t2f3
10.1103/PhysRevB.53.2126 w6a1
10.1103/PhysRevA.70.062718 v6p2
10.1103/PhysRevA.70.062718 w2j2
10.1103/PhysRevA.70.062718 f3d2
10.1103/PhysRevA.70.062718 m6m3
10.1103/PhysRevA.70.062718 x4w3
10.1103/PhysRevA.25.1993 t4r2
10.1103/PhysRevA.25.1993 m5p3
10.1103/PhysRevB.45.4745 s1b1
10.1103/PhysRevB.45.4745 k3g2
10.1103/PhysRevE.60.386 e3y2
10.1103/PhysRevE.60.386 f4o1
10.1103/PhysRevE.60.386 h4u3
10.1103/PhysRevA.23.2347 e4y1
10.1103/PhysRevA.23.2347 h1m3
10.1103/PhysRevA.8.2298 h5m2
10.1103/PhysRevA.8.2298 r4v1
10.1103/PhysRevD.61.035007 w6d2
10.1103/PhysRevD.61.035007 v1v3
